name,company,year,kms_driven,fuel_type,Price
Jaguar XJ,Jaguar,2018,143649,Petrol,11640961
Skoda Superb,Skoda,2011,157084,Petrol,3266474
Mercedes-Benz AMG A35,Mercedes-Benz,2020,78053,Petrol,5840459
Hyundai Alcazar,Hyundai,2019,106366,Diesel,1722265
Toyota Camry,Toyota,2015,148568,Petrol,4761222
Jeep Wrangler,Jeep,2020,56557,Petrol,5899136
Audi Q7,Audi,2017,175332,Petrol,8736215
Land Rover Range Rover,Land Rover,2016,172429,Petrol,29610065
Maruti Suzuki Jimny,Maruti,2026,347,Petrol,1289825
Jaguar XE,Jaguar,2025,10117,Petrol,5038878
Maruti Suzuki Ertiga,Maruti,2015,200104,Petrol,1108464
BMW M2,BMW,2021,46608,Petrol,9903028
Kia EV9,Kia,2023,50753,Electric,13523209
Renault Kiger,Renault,2019,118531,Petrol,1113381
Toyota Urban Cruiser Hyryder,Toyota,2011,182676,Petrol,1675895
McLaren 750S,McLaren,2015,144150,Petrol,41458001
Lamborghini Huracan,Lamborghini,2022,70304,Petrol,44338663
Mahindra XUV300,Mahindra,2010,131226,Petrol,1347050
Genesis GV80,Genesis,2024,26409,Diesel,6410304
Nissan Leaf,Nissan,2016,144262,Petrol,4408471
Toyota Urban Cruiser Hyryder,Toyota,2012,246347,Petrol,1374301
Volvo S60,Volvo,2017,153910,Petrol,5632308
Lincoln Corsair,Lincoln,2025,10847,Petrol,6740257
Tata Harrier EV,Tata,2010,155878,Electric,2109126
Lexus RZ 450e,Lexus,2022,66016,Petrol,12971821
Honda Jazz,Honda,2013,185382,Diesel,986081
Maserati MC20,Maserati,2014,124130,Petrol,21813127
Honda City,Honda,2021,73346,Diesel,1484647
Volkswagen Tiguan,Volkswagen,2021,99687,Petrol,3769368
Hyundai Verna,Hyundai,2018,139082,Electric,1331981
McLaren 570S,McLaren,2025,19996,Diesel,37964006
MG Comet EV,MG,2025,15890,Electric,767116
Maruti Suzuki Ciaz,Maruti,2026,4341,Petrol,1065624
BMW X3,BMW,2021,57306,Petrol,7118448
Porsche 718 Spyder,Porsche,2010,214676,Petrol,17489735
Audi A8,Audi,2022,53062,Petrol,15689850
Audi A8,Audi,2020,52719,Diesel,14852278
Volkswagen Tiguan,Volkswagen,2024,22440,Diesel,3520654
Porsche 911,Porsche,2011,158750,Petrol,32109177
Audi A6,Audi,2019,82053,Electric,7181014
Maserati Quattroporte,Maserati,2022,34819,Petrol,20728595
Lincoln Navigator,Lincoln,2026,2811,Diesel,9282070
Genesis G90,Genesis,2011,287806,Diesel,7061298
Jeep Meridian,Jeep,2019,56909,Diesel,3477676
Jaguar F-Type,Jaguar,2012,135230,Petrol,12495021
Mercedes-Benz AMG A45,Mercedes-Benz,2011,149622,Diesel,7841847
Lincoln Corsair,Lincoln,2015,157513,Diesel,5391007
Maserati Grecale,Maserati,2010,168915,Petrol,13711790
Mercedes-Benz C-Class,Mercedes-Benz,2010,204277,Petrol,6282054
Land Rover Range Rover Sport,Land Rover,2013,152337,Diesel,14888537
Hyundai Exter,Hyundai,2020,97234,Diesel,761472
Maserati MC20,Maserati,2022,72430,Diesel,23313719
Mahindra Bolero,Mahindra,2025,11508,Diesel,1098844
Lincoln MKZ,Lincoln,2014,170022,Petrol,4477896
Maruti Suzuki Celerio,Maruti,2017,123959,Diesel,572496
Citroen C3,Citroen,2023,34641,Petrol,792317
Honda Jazz,Honda,2016,91433,Petrol,943527
Honda HR-V,Honda,2020,109904,Diesel,1412167
Volkswagen Golf GTI,Volkswagen,2011,152027,Diesel,3382694
Maserati Levante,Maserati,2018,74737,Diesel,18115126
Audi RS5,Audi,2013,152507,Diesel,12340438
Volvo EX30,Volvo,2023,54368,Petrol,5036008
MG 5 EV,MG,2024,28597,Electric,2733906
Porsche 718 Spyder,Porsche,2025,19561,Diesel,16966153
Mahindra KUV100,Mahindra,2014,203638,Petrol,715230
BMW 7 Series,BMW,2018,148002,Petrol,15686083
Ferrari Roma,Ferrari,2023,26572,Petrol,36834495
Porsche 911 GT3 RS,Porsche,2010,250950,Petrol,42353574
Aston Martin DB12,Aston,2023,28919,Petrol,46238394
BMW M4,BMW,2024,33979,Petrol,14574048
Cadillac XT4,Cadillac,2011,158676,Petrol,5090499
MG Hector,MG,2014,135996,Diesel,1621418
BMW 7 Series,BMW,2018,140118,Diesel,16597899
Land Rover Discovery Sport,Land Rover,2016,109186,Petrol,7238982
BMW 4 Series,BMW,2013,220559,Diesel,5971983
Lincoln MKZ,Lincoln,2017,150109,Petrol,4731053
Toyota Camry,Toyota,2010,198753,Petrol,4524997
Nissan Sunny,Nissan,2013,114353,Petrol,1119720
Hyundai Ioniq 5,Hyundai,2015,109970,Diesel,4620930
BMW X1,BMW,2024,26610,Electric,4940042
Audi Q3,Audi,2018,93742,Petrol,4438030
Toyota Urban Cruiser Hyryder,Toyota,2013,204521,Petrol,1489575
Cadillac CT4,Cadillac,2022,42943,Diesel,5826382
Lexus ES,Lexus,2024,16472,Petrol,6803213
Porsche 718 Boxster,Porsche,2023,41581,Petrol,17098304
Genesis GV60,Genesis,2017,159739,Petrol,6818665
MG Comet EV,MG,2013,171630,Electric,868424
Hyundai Grand i10,Hyundai,2023,49196,CNG,674726
Lexus UX,Lexus,2018,142676,Petrol,4577804
Jaguar E-Pace,Jaguar,2013,250107,Diesel,6919326
Jaguar F-Pace,Jaguar,2018,146174,Petrol,8093032
BMW X6 M,BMW,2012,230721,Petrol,18444995
Rolls Royce Cullinan,Rolls,2019,125092,Diesel,79113614
Toyota Camry Hybrid,Toyota,2019,79465,Electric,4799995
Genesis G90,Genesis,2024,34374,Petrol,7167315
Tata Nexon,Tata,2022,38239,Petrol,842196
Genesis G80,Genesis,2019,116650,Diesel,6001914
Lamborghini Aventador,Lamborghini,2011,192078,Petrol,60304934
Mercedes-Benz AMG E63,Mercedes-Benz,2022,71711,Petrol,18562233
MG 5 EV,MG,2012,205873,Electric,2908935
Maruti Suzuki Baleno,Maruti,2021,91390,Petrol,897051
Jeep Wagoneer,Jeep,2011,163837,Diesel,4590058
Audi RS7,Audi,2018,84747,Electric,17868700
BMW 6 Series,BMW,2013,138226,Petrol,7199308
Toyota Corolla,Toyota,2018,92806,Petrol,1888594
Kia Sportage,Kia,2017,104187,Petrol,2726094
Maruti Suzuki Jimny,Maruti,2016,111020,Petrol,1408179
BMW Z4,BMW,2011,178506,Petrol,9820123
Mahindra Bolero,Mahindra,2017,125181,Petrol,968661
Mercedes-Benz AMG GT,Mercedes-Benz,2023,55039,Petrol,29770949
Jaguar F-Type,Jaguar,2024,22834,Diesel,12823142
BMW Z4,BMW,2017,152488,Petrol,9198127
Lamborghini Revuelto,Lamborghini,2021,98442,Petrol,84689369
Rolls Royce Dawn,Rolls,2011,164027,Petrol,80435727
Mercedes-Benz AMG SL63,Mercedes-Benz,2026,4566,Diesel,24962409
BMW X6 M,BMW,2026,3807,Petrol,19989492
Volvo S60,Volvo,2010,159404,Petrol,5763437
Mercedes-Benz AMG C63,Mercedes-Benz,2013,184071,Petrol,15074086
Toyota Camry Hybrid,Toyota,2010,268652,Electric,4843003
Tata Harrier,Tata,2021,59115,Petrol,1630422
Hyundai Exter,Hyundai,2015,116881,Petrol,687700
Honda CR-V,Honda,2021,63678,Petrol,4361817
Porsche Taycan,Porsche,2017,134281,Petrol,19348118
Bentley Flying Spur,Bentley,2015,132106,Petrol,62010867
Maruti Suzuki S-Cross,Maruti,2022,43273,Petrol,866045
Audi RS6,Audi,2015,153995,Diesel,15600524
Audi RS3,Audi,2011,215283,Diesel,9059054
Audi R8,Audi,2020,61678,Petrol,24007070
Maserati MC20,Maserati,2020,113766,Petrol,21467161
Aston Martin DBX,Aston,2019,69222,Petrol,38839436
Genesis G90,Genesis,2018,129231,Diesel,7747842
MG 4 EV,MG,2017,151166,Electric,2822365
Toyota Land Cruiser,Toyota,2011,203597,Diesel,21968114
Ferrari SF90 Stradale,Ferrari,2012,114425,Petrol,76740023
Genesis G70,Genesis,2013,211413,Diesel,4290850
Aston Martin DBX,Aston,2024,18354,Petrol,39012502
Lexus UX,Lexus,2023,31188,Petrol,4990321
Mahindra Thar 5-Door,Mahindra,2011,178212,Petrol,2117245
Cadillac XT5,Cadillac,2017,108233,Diesel,7042676
BMW M2,BMW,2016,92872,Petrol,10863522
Jaguar XF Sportbrake,Jaguar,2016,110389,Petrol,6761101
BMW 5 Series,BMW,2014,105508,Petrol,8002758
Lamborghini Huracan,Lamborghini,2010,309909,Diesel,42686735
Rolls Royce Wraith,Rolls,2018,143041,Petrol,72364748
BMW M4,BMW,2012,115569,Petrol,16193531
Audi A3,Audi,2016,161460,Electric,3892203
Lexus ES,Lexus,2012,225121,Diesel,6664649
Land Rover Range Rover,Land Rover,2017,111934,Diesel,30535963
Ferrari Portofino,Ferrari,2012,160119,Diesel,40881016
Audi RS e-tron GT,Audi,2012,224914,Electric,19922724
Land Rover Discovery Sport,Land Rover,2019,132042,Diesel,6995690
Hyundai Casper,Hyundai,2016,122344,Diesel,621888
Genesis G70,Genesis,2017,76465,Petrol,4462927
BMW Z4,BMW,2013,185484,Petrol,9564491
Land Rover Range Rover Evoque,Land Rover,2015,154561,Diesel,7815780
Jeep Compass,Jeep,2022,46237,Petrol,3183577
Skoda Kodiaq,Skoda,2017,157160,Petrol,3789296
MG 5 EV,MG,2012,256200,Electric,2663309
Volvo XC90,Volvo,2010,301231,Petrol,10843841
Maruti Suzuki Baleno,Maruti,2014,221500,Petrol,1034923
Maruti Suzuki S-Cross,Maruti,2017,117774,Petrol,853624
Bentley Bentayga,Bentley,2016,123840,Diesel,46480991
Honda Elevate,Honda,2025,8453,Petrol,1247531
Skoda Octavia,Skoda,2020,110854,Petrol,2864062
MG 4 EV,MG,2013,172135,Electric,2853056
Volvo C40,Volvo,2013,154808,Petrol,5875578
Jaguar XF,Jaguar,2015,91713,Petrol,5841229
Tata Nexon EV,Tata,2025,15051,Electric,1812993
Genesis GV70,Genesis,2019,73727,Diesel,5608981
Mahindra BE 5,Mahindra,2022,78999,Diesel,3255088
Audi TT RS,Audi,2013,194319,Diesel,8744718
Volvo C40,Volvo,2015,156124,Petrol,6071228
McLaren 720S,McLaren,2019,98789,Petrol,46662719
Porsche 911,Porsche,2024,19600,Petrol,31913309
Audi RS3,Audi,2020,108615,Diesel,9146277
Audi RS5,Audi,2024,37741,Petrol,11951685
Mercedes-Benz E-Class,Mercedes-Benz,2023,47414,Petrol,9086403
Audi RS3,Audi,2017,128187,Petrol,8637016
Honda Amaze,Honda,2024,28673,Petrol,982266
Maruti Suzuki Ciaz,Maruti,2015,209716,Petrol,1179058
Volkswagen Golf GTI,Volkswagen,2013,248963,Diesel,3056318
Mercedes-Benz AMG A35,Mercedes-Benz,2020,70303,Petrol,6254976
Maruti Suzuki XL6,Maruti,2011,247484,Petrol,1239409
Mercedes-Benz SLK,Mercedes-Benz,2024,24726,Diesel,6506645
Mercedes-Benz AMG E63,Mercedes-Benz,2025,15819,Petrol,18060196
Audi A8,Audi,2024,36530,Diesel,15486499
Maruti Suzuki Grand Vitara,Maruti,2012,155426,Petrol,1823040
Mercedes-Benz A-Class,Mercedes-Benz,2024,37367,Petrol,4192524
Cadillac XT4,Cadillac,2013,206742,Petrol,5406803
Bentley Continental GT,Bentley,2014,210355,Petrol,48667910
Mercedes-Benz SL,Mercedes-Benz,2026,2833,Electric,16203301
Maserati Grecale,Maserati,2024,38002,Petrol,13699166
Jaguar XF,Jaguar,2015,134533,Petrol,5810605
Mahindra KUV100,Mahindra,2011,127732,Diesel,785870
Maserati Levante,Maserati,2024,39610,Petrol,15324210
MG 5 EV,MG,2017,94404,Electric,2941441
Renault Duster,Renault,2018,106552,Petrol,1029573
Maruti Suzuki Alto,Maruti,2017,178462,Petrol,396487
Jeep Renegade,Jeep,2017,139642,Petrol,1803338
Tata Punch,Tata,2017,174195,Petrol,927837
Maruti Suzuki Fronx,Maruti,2015,99173,Petrol,1103594
Rolls Royce Phantom,Rolls,2018,138181,Petrol,92245740
Jeep Grand Cherokee,Jeep,2018,101788,Petrol,8325204
McLaren 765LT,McLaren,2014,207592,Diesel,58469665
Toyota Innova Hycross,Toyota,2010,266960,Petrol,2799439
Volkswagen Tiguan,Volkswagen,2021,84638,Petrol,3664851
BMW X5 M,BMW,2020,61885,Petrol,17637359
Mercedes-Benz GLE,Mercedes-Benz,2013,257439,Petrol,10102282
Porsche Macan,Porsche,2026,1617,Petrol,17988930
Audi Q4 e-tron,Audi,2025,16847,Electric,11344858
Maserati MC20,Maserati,2014,191277,Petrol,22954574
Toyota Fortuner Legender,Toyota,2025,15328,Petrol,4403181
Audi Q3,Audi,2024,18153,Diesel,4657516
Jeep Gladiator,Jeep,2018,97560,Petrol,5827994
Hyundai Verna,Hyundai,2016,83899,CNG,1269880
Audi RSQ8,Audi,2017,82127,Diesel,23684363
BMW M8,BMW,2015,91468,Electric,24034761
Volvo EX30,Volvo,2013,184394,Petrol,4704710
Lexus IS,Lexus,2013,244532,Petrol,6612409
Jaguar F-Type,Jaguar,2023,39910,Petrol,11892045
Audi RS5,Audi,2016,166502,Petrol,12677380
Lamborghini Aventador,Lamborghini,2025,16070,Petrol,61871594
Hyundai Grand i10,Hyundai,2018,82389,Petrol,660238
Jeep Renegade,Jeep,2015,93073,Petrol,1764058
McLaren 570S,McLaren,2022,79411,Petrol,41191099
Tata Nexon EV,Tata,2014,220914,Electric,1739048
Audi Q5,Audi,2018,94620,Petrol,7313445
MG ZS EV,MG,2020,102803,Electric,2326288
Volvo V90,Volvo,2019,138449,Diesel,7465771
Ferrari 296 GTB,Ferrari,2021,90056,Diesel,54620475
Mercedes-Benz GLE,Mercedes-Benz,2015,217700,Diesel,11554109
BMW M2,BMW,2010,158431,Petrol,10222033
Land Rover Range Rover Evoque,Land Rover,2022,71376,Petrol,7331472
Renault Kwid EV,Renault,2024,22480,Electric,965928
Porsche 911 Turbo S,Porsche,2011,170918,Diesel,33586213
Lincoln Aviator,Lincoln,2018,129613,Diesel,8738041
Volkswagen Vento,Volkswagen,2019,86788,Diesel,1420257
McLaren P1,McLaren,2015,100181,Petrol,83292640
MG 5 EV,MG,2015,99837,Electric,2767072
Audi A3,Audi,2014,209308,Petrol,3891471
Jaguar E-Pace,Jaguar,2017,129537,Diesel,6758753
Volvo Polestar 2,Volvo,2014,155922,Petrol,7879088
Renault Kwid EV,Renault,2010,312016,Electric,974952
Jaguar XE,Jaguar,2019,93512,Diesel,5062750
Toyota Camry Hybrid,Toyota,2025,16591,Electric,4958636
Honda WR-V,Honda,2019,77859,Petrol,1176865
Honda Jazz,Honda,2014,227965,Diesel,1053156
Volvo C40,Volvo,2016,197688,Petrol,5922803
Nissan Sunny,Nissan,2015,210350,Diesel,1042587
Maruti Suzuki WagonR,Maruti,2025,18401,Diesel,648964
Nissan Magnite,Nissan,2024,37164,Petrol,760670
Audi TT,Audi,2025,15195,Electric,6695955
Jeep Renegade,Jeep,2024,16800,Diesel,1960592
Mahindra Thar 5-Door,Mahindra,2022,59995,Diesel,2064954
Maruti Suzuki Grand Vitara,Maruti,2025,14631,Petrol,1884585
Jaguar F-Type,Jaguar,2011,277212,Diesel,12169594
Land Rover Range Rover Sport,Land Rover,2014,236716,Diesel,15060884
Lexus UX 300e,Lexus,2019,132968,Petrol,6129260
Land Rover Discovery 5,Land Rover,2023,44652,Diesel,12917795
Maruti Suzuki Dzire,Maruti,2023,55917,Petrol,832118
